#* opts
# style NewRibbons
# header1 mol
# format_data %8.4f
# header2 frame
# colorID 0
# collections rmsd avg std min max
# sets dual
# format_scale %4.2f
# ascii 0
# format_key %3d %3d
# connect lines
# formats f
# calctype rmsd
# mode frames
# color Molecule
#* guiopts
# byres 1
# align 0
# force_samemols 0
# diagonal 0
#* sets
# mol2_def id
# mol_all 0 1
# mol1 0
# mol2 1
# rep_sel protein
# samemols 0
# frame1_def all
# frame2_def all
# frame1 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# frame2 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# sel1 protein
# sel2 protein
# mol1_def id
    mol1   frame1       mol2   frame2       rmsd      avg      std      min      max
       0       14          1        4     2.8849   2.1046   2.4699   0.4098  20.6430
       0       14          1        5     2.9990   2.0595   2.5497   0.4211  17.8161
       0       14          1        6     2.7598   2.0427   2.1835   0.3152  15.6495
       0       14          1        7     3.4710   2.3157   3.0827   0.3731  22.6507
       0       14          1        8     2.9715   2.1684   2.2442   0.3996  15.1093
       0       14          1        9     2.6288   2.0261   1.7725   0.4096  11.1893
       0       14          1       10     4.0462   2.3223   3.9598   0.2856  29.5364
       0       14          1       11     3.5322   2.2452   3.2327   0.3683  22.1769
       0       14          1       12     2.7645   1.9790   2.3160   0.1958  17.6549
       0       14          1       13     3.0106   2.1316   2.5231   0.4462  19.7759
       0       14          1       14     0.0000   0.0000   0.0000   0.0000   0.0000
       0       14          1       15     2.5807   1.8733   1.9716   0.3368  13.3584
       0       14          1       16     2.1278   1.7033   1.2174   0.3744   8.5387
       0       14          1       17     3.5321   2.4305   3.0922   0.2876  23.1753
       0       14          1       18     3.5423   2.3551   3.1169   0.6013  24.1406
       0       14          1       19     2.6708   2.0330   1.8210   0.2606  11.1064
       0       15          1        0     2.3211   1.7798   1.5120   0.3306   8.3481
       0       15          1        1     2.7651   2.0839   2.1231   0.4766  17.2046
       0       15          1        2     2.6820   2.0243   1.8873   0.4063  13.6101
       0       15          1        3     2.1508   1.7815   1.2670   0.1876   8.8369
       0       15          1        4     2.2561   1.9203   1.3192   0.3798  10.9969
       0       15          1        5     2.6632   1.9933   2.0050   0.3112  14.9752
       0       15          1        6     2.5303   1.9756   1.7977   0.4210  14.8381
       0       15          1        7     3.1608   2.1327   2.7733   0.3196  19.7187
       0       15          1        8     2.4479   1.9351   1.5463   0.3862  11.4442
       0       15          1        9     2.3262   1.9161   1.2170   0.4230   6.4801
       0       15          1       10     3.8223   2.4015   3.6044   0.4622  27.6073
       0       15          1       11     3.3143   2.2090   2.9070   0.3850  20.2874
